24410,1,Suzanne Mcintosh,2022-09-24,679.98,9
19910,2,Kimberly Williams,2018-09-11,535.99,1
9699,3,Jaime Moses,2020-01-08,222.72,35
31477,4,Nancy Bender,2018-10-15,510.77,38
21477,5,Rachel Garrett,2021-07-10,153.1,1
16366,6,Justin Choi,2022-10-24,199.22,24
26336,7,Robert Knapp,2019-05-09,396.97,38
1813,8,Jason Mccoy,2021-08-23,519.5,15
33188,9,Robert Ramirez,2020-11-17,583.09,27
32678,10,Kent Sweeney,2018-08-30,523.87,24
10216,11,Laurie Perkins,2020-12-06,721.77,18
31540,12,Glenn Short,2020-11-16,367.55,7
24072,13,Michael Rodriguez,2020-09-12,345.32,2
9545,14,Terry Smith,2019-03-13,400.85,23
30088,15,Chelsea Hunter,2018-08-03,32.94,40
11517,16,Julie Riggs,2021-01-07,485.31,32
4330,17,Shawn Allen,2019-10-24,842.52,17
7755,18,Brian Murphy,2022-09-13,253.38,20
960,19,Amanda Sanchez,2022-01-01,45.33,8
10824,21,Henry Peterson,2018-03-06,242.61,37
18200,22,Cindy Hobbs,2019-05-01,324.58,19
16623,23,Eric Garcia,2020-05-22,397.36,30
3130,24,William Velez,2022-02-27,834.16,11
27057,25,Erin Todd,2021-11-07,288.47,21
32554,26,Carrie Jones,2019-05-02,238.68,22
26203,27,Steven Anderson,2020-01-13,208.64,35
17871,28,Johnathan Reyes,2022-04-03,687.3,38
20765,29,Lindsay Miller,2018-04-18,1016.57,13
22427,30,Amy Elliott,2022-07-25,30.6,27
2041,31,Ronald Clay,2023-03-06,50.22,10
15599,32,Douglas Ortega,2022-01-19,608.4,31
28503,33,Judy Salazar,2019-04-24,19.28,18
13968,34,Maria Walker,2019-02-24,711.8,22
10338,35,Christine Wells,2022-01-13,423.51,29
2609,36,Joshua Alvarado,2021-08-11,277.15,2
646,37,Samantha Jones DVM,2020-03-15,489.88,6
7980,38,Erik Benson,2019-02-24,166.37,14
2187,39,Kenneth Johnson,2021-01-17,1068.4,19
31931,41,Timothy Poole,2021-12-17,846.87,17
3582,42,Joshua Frank,2018-12-20,1.04,40
936,43,Andrew Ruiz,2018-05-26,370.09,18
5854,44,Michael Briggs,2022-09-03,629.38,20
4703,45,Brendan Jensen,2023-06-08,140.61,28
21759,46,Melissa Armstrong,2018-06-26,132.08,38
12084,47,Anthony Jones,2020-04-05,142.88,12
29513,48,Paula Mcpherson,2021-05-27,944.04,39
13390,49,Pamela Kramer,2022-09-12,214.31,39
6841,50,Tom Ball,2022-10-28,358.97,18
17274,51,Sonya Harvey,2020-11-24,227.61,40
25509,52,Michael Smith,2019-05-03,493.29,31
5418,53,Stephanie Lester,2018-05-27,120.27,8
22419,54,Emily Meyer,2018-06-01,550.53,14
19713,55,Tyler Houston,2023-06-17,55.44,26
31324,56,Ashley Jones,2019-06-08,659.59,11
16324,57,Angel Allen,2021-03-19,344.51,33
32892,58,Arthur Trujillo,2022-05-07,685.23,38
8849,59,Heather Brewer,2019-11-11,708.49,32
27785,61,Andrew Long,2019-06-14,845.5,35
22248,62,Joanne Daniels,2020-01-19,329.3,5
25635,63,Shawn Lamb,2019-04-18,680.61,2
8845,64,Krystal Smith,2022-09-10,622.18,27
10163,65,Jeffrey Bond,2018-02-04,83.73,34
17675,66,Robert Montgomery,2020-12-22,691.89,16
31404,67,Robert Flowers,2019-04-16,260.74,11
20704,68,Donald Rogers,2019-03-31,735.91,36
6107,69,Jennifer Anderson,2021-10-01,447.56,30
22378,70,David Farrell,2019-10-22,345.93,6
3068,71,Daniel Lawson,2020-03-23,228.61,27
12590,72,Kevin Erickson,2018-10-01,536.06,11
17850,73,Alex Graham,2019-06-24,355.58,6
21637,74,James Houston,2021-06-17,595.25,4
24420,75,Marvin Edwards,2021-04-13,665.82,35
7291,76,Nicole Griffin,2021-07-09,760.85,34
16484,77,Derrick Evans,2020-12-26,260.53,2
30706,78,Alicia Bass,2018-11-04,272.03,31
8536,79,Renee Davis,2019-05-10,607.41,23
744,81,Cody Allen,2022-07-30,491.87,30
7844,82,Kevin Hamilton,2019-02-21,703.84,33
12628,83,Mary Flores,2020-06-26,540.55,26
6356,84,Howard Robinson,2020-08-27,344.87,34
24301,85,Marcus Rhodes,2019-01-10,172.77,23
20617,86,Rebecca Buck,2018-11-02,353.22,12
16421,87,Becky Wright,2022-07-02,236.84,20
21416,88,Lauren Strong,2019-06-09,210.46,39
9727,89,Michael Webster,2018-06-18,922.57,33
13336,90,Bridget Galloway,2019-06-19,480.46,10
32953,91,Teresa Stewart,2019-12-16,528.98,39
2189,92,James Cooley Jr.,2022-02-10,655.04,29
16626,93,Savannah Anderson,2022-08-22,168.91,30
2040,94,Cheryl Ray,2022-01-11,11.77,1
15528,95,Christopher Nelson,2023-02-22,139.21,33
4585,96,Michael Krueger DDS,2018-03-09,469.53,17
12385,97,Charles Wu,2021-05-24,468.32,1
29838,98,Wendy Lutz,2020-09-01,1084.32,23
26235,99,Brandy Brooks,2019-07-15,517.14,40
3110,101,Billy Blair,2021-03-08,608.98,29
27572,102,Julia Pierce,2019-06-08,547.81,21
11594,103,Suzanne Smith,2018-08-23,556.26,10
14857,104,Michael Roberts,2018-12-03,769.99,1
17817,105,Bailey Sanchez,2020-04-28,627.65,23
1770,106,Melvin Martinez,2023-01-19,267.24,34
24470,107,Erin Sheppard,2020-05-17,643.83,16
26494,108,Andrew Davis,2018-06-08,277.26,17
13527,109,Angela Bush,2022-10-22,477.42,4
28658,110,Rachael Howell,2018-11-03,16.91,1
19709,111,Sarah Sullivan,2021-08-23,942.03,17
19263,112,Eric Harris,2021-02-16,689.44,33
12302,113,Richard Hernandez,2018-02-26,546.03,30
9139,114,Jennifer Davis,2021-07-24,713.63,35
9853,115,Richard Cook,2018-04-06,5.87,24
27181,116,Edward Rollins,2020-03-21,551.15,10
3451,117,Jerry Brown,2023-01-23,401.51,32
6290,118,Marcus Moore,2019-06-29,185.42,3
28557,119,Erica Hill,2018-10-26,116.7,34
14663,121,Nicole Becker,2022-07-26,447.05,30
15800,122,Rebecca Duran,2021-12-10,1063.2,17
18333,123,Mrs. Alison Daniels,2019-05-13,249.77,40
17398,124,Sara Ochoa,2019-05-31,634.3,33
10015,125,Sarah Mccoy,2022-02-28,134.09,16
18547,126,Phillip Kim,2021-02-03,301.85,38
2491,127,Daniel Zimmerman,2022-03-03,583.31,5
6788,128,Allison Watts,2022-01-15,607.9,33
32566,129,Martin Morales,2021-08-08,310.43,21
4178,130,Matthew Rivera,2022-12-31,645.72,35
24078,131,Brandon Moore,2019-09-04,389.9,1
9238,132,Samuel Brown,2023-02-25,267.89,14
28595,133,Stephen Moyer II,2019-02-24,72.18,29
508,134,Robert Holden,2021-03-29,896.19,18
33246,135,Jonathan Clark,2022-12-02,796.9,40
30398,136,Martin Gillespie,2023-03-26,530.43,37
11790,137,Theresa Parsons,2018-10-12,332.85,31
8660,138,Scott Nelson,2019-01-13,771.23,18
8689,139,Christopher Young,2019-09-30,689.82,39
14733,141,Stacy Bell,2020-10-20,571.44,11
6497,142,Anthony York,2018-12-14,596.15,14
30664,143,Christopher Thompson,2022-12-06,176.34,25
8339,144,Veronica Houston,2022-02-16,198.92,5
20900,145,Joseph Park,2023-01-21,5.31,30
5146,146,Maria Carr,2021-09-14,822.26,3
15875,147,Victor Page,2022-02-07,6.59,17
24522,148,Sarah Marshall,2021-09-17,487,38
10832,149,Zachary Joseph,2022-10-20,1086.94,21
2464,150,Michelle Sanders,2020-11-15,334.72,35
6240,151,Monica Wright,2019-12-01,245.12,35
15885,152,Jonathan Wolf,2022-11-03,163.95,29
9777,153,Martha Hernandez,2020-04-23,518.86,5
4654,154,Philip Dorsey,2020-05-10,327.36,37
9336,155,Molly Sampson,2019-02-09,1198.4,17
20323,156,Russell Casey,2021-04-17,271.67,30
30180,157,Ralph Dunn,2018-08-25,692.56,38
7675,158,Michael Anderson,2022-05-23,545.65,11
4385,159,Jeffery Russell,2023-01-25,129.79,38
298,161,William Henry,2020-12-24,586.39,33
12691,162,Wesley Smith,2018-04-12,761.81,19
5106,163,Adam Garcia,2019-07-10,285.52,14
27639,164,Paul Acosta,2018-01-04,70.01,1
8287,165,Chelsea Harrison,2020-05-06,234.55,30
24905,166,Andrew Taylor,2020-04-15,273.69,33
27605,167,Angela Smith,2019-03-31,843.05,3
8462,168,Julie Novak,2020-09-01,687.8,25
14841,169,Ryan Thompson,2022-06-11,787.6,20
21107,170,Abigail Griffith MD,2020-05-29,214.19,39
7845,171,Ricardo Dillon,2021-03-05,1219.31,21
24152,172,Veronica Freeman,2018-04-28,38.67,14
32615,173,Robert Nash,2023-06-17,498.21,31
20652,174,Darius White,2020-10-30,863.82,24
24953,175,Vernon Blair,2019-01-01,322.45,27
10638,176,Brian Newman,2020-06-29,397.34,13
24269,177,Kristina Downs,2023-01-26,573.67,1
8293,178,Donna Anderson,2019-05-12,683.49,16
32165,179,Leslie Wilkerson,2019-04-15,557.46,18
1054,181,Amanda Clayton,2019-10-04,948.52,13
1496,182,Ashley Miller,2019-11-16,766.81,1
32262,183,Brendan Smith,2021-08-06,876.34,31
2062,184,Anthony Edwards,2019-03-15,368.74,16
23642,185,Erica Douglas,2022-06-27,421.29,40
29320,186,Monica Camacho,2018-01-14,752.37,11
23170,187,Lisa Martinez,2018-03-17,868.67,18
10244,188,Crystal Ellis,2020-12-28,209.53,28
2719,189,Sean Rodriguez,2022-11-27,435.26,3
2325,190,Alyssa Stevens,2018-03-07,770.04,19
28756,191,Andrea Butler,2018-07-30,467.68,25
252,192,Kathleen Greer,2020-09-28,155.73,18
31215,193,Krystal Hubbard,2021-11-22,717.2,32
25380,194,Walter Vaughn,2023-06-13,486.96,18
3404,195,Joshua Mitchell,2018-02-20,831.26,33
30497,196,Yolanda Saunders,2019-05-12,124.07,19
2601,197,Lisa York,2021-08-20,701.24,22
25518,198,Whitney Bell,2018-03-23,168.06,19
17879,199,Dennis Stephens,2022-11-25,414.15,29
27728,201,Frederick Hall,2022-02-01,927,11
5611,202,Ronald Brown,2021-05-28,274.97,39
2405,203,Margaret Anderson,2022-07-02,685.21,2
7733,204,Christopher Crawford,2020-03-25,537.28,25
15196,205,Amber Novak,2022-03-15,291.24,9
8146,206,Krystal Thompson,2022-02-10,859.66,33
16006,207,Stephen Thornton,2021-04-26,104.54,34
23956,208,Alejandro Davila,2022-03-29,547.97,34
17526,209,Kevin White,2022-11-16,198.51,30
10246,210,Stephen Stevenson,2020-11-07,20.75,12
31172,211,Nicole Freeman,2018-08-19,512.17,2
5374,212,David Barnes,2019-04-29,417.8,19
27175,213,Zachary Schultz,2018-05-16,1106.9,23
21105,214,Laura Griffith,2022-04-07,411.9,29
3860,215,Susan Stephens,2022-09-23,544.11,27
21041,216,Nicole Smith,2021-11-06,724,31
13644,217,Victoria Brown,2021-08-26,122.29,36
21779,218,Kathryn Hall,2018-10-03,173,8
31342,219,Timothy Middleton,2020-02-27,233.77,5
22402,221,Tracy Johnson,2023-03-31,793.91,20
11345,222,Ryan Patterson,2023-04-13,420.84,19
5832,223,Jason Kelly,2023-05-12,215.08,35
12854,224,Jeffrey Becker,2022-04-04,166.31,2
3478,225,Tamara Perez,2019-07-20,282.63,8
10659,226,Sherry Simmons,2019-09-19,594.87,35
16903,227,Matthew Howard,2018-07-20,627.2,16
15650,228,Cynthia Turner,2021-07-18,260.99,11
21149,229,Justin Scott,2019-10-19,47.49,20
11590,230,William Anderson,2019-08-13,512.96,12
25968,231,Keith Washington,2022-02-12,302.11,25
13929,232,Debbie Freeman,2022-05-31,339.05,24
11018,233,Sarah Weaver,2022-10-17,621.08,21
395,234,Jessica Jones,2018-07-08,552.93,33
12256,235,Andrew Cruz,2020-12-05,402.48,30
5961,236,Jeffery Warner,2021-06-19,179.4,12
5679,237,Jesse Owens,2022-05-29,358.87,30
19218,238,Patrick Ayala,2022-11-19,260.76,8
9111,239,Steven Rodriguez,2020-02-18,497.54,10
13400,241,Kylie Ayala,2018-12-30,96.93,16
29575,242,Kayla Johnson,2022-03-04,377.75,38
1482,243,Scott Torres,2022-10-05,476.43,27
31984,244,Johnathan Daniels,2018-06-12,230.21,6
19364,245,Amy Wells,2021-08-14,152.78,15
29402,246,Benjamin Clements,2020-02-20,34.75,14
33295,247,Robert Curtis,2019-04-13,699.02,21
9900,248,James Cruz,2022-12-15,280.91,38
11452,249,Catherine Ortiz,2021-10-14,589.26,9
17525,250,Brian Ramirez,2023-05-18,276.92,29
3159,251,Tyler Kelley,2018-05-14,956.26,21
30063,252,Keith Dominguez,2018-01-03,180.43,40
948,253,Shannon Wells,2022-10-21,748.72,35
21962,254,Steven Robbins,2020-08-29,516.01,19
13726,255,Courtney Chan,2019-12-28,705.56,35
16620,256,Jon Harvey,2021-02-20,490.13,1
14826,257,Angela Williams,2019-08-22,481.47,5
4003,258,Candace Carter,2020-09-15,504.03,13
17583,259,Pamela Watson,2018-07-30,354.81,14
17596,261,Brandon Simpson,2022-07-23,988.59,15
20179,262,Paul Fernandez,2018-02-28,160.34,22
17520,263,Lisa Richardson,2019-10-02,124.71,21
32490,264,Cynthia Carlson,2021-09-16,264.05,10
15860,265,Juan Griffin,2023-01-09,53.17,19
16760,266,Mr. Jose Mueller,2021-07-25,494.6,17
21854,267,Barry Tucker,2019-12-14,598.27,15
25932,268,Lisa Castillo,2019-12-29,954.04,9
25329,269,Dr. Pam Carrillo,2022-04-12,480.99,18
15105,270,Michelle Johnson,2021-07-01,818.39,13
14272,271,Melanie Smith,2020-09-15,145.38,7
9883,272,Brandon Jackson,2018-12-10,249.9,12
19088,273,Molly Dickerson,2023-04-27,813.19,34
21783,274,Annette Mcgee,2021-01-12,505.36,13
24134,275,Grace Powell,2021-09-26,925.74,13
16291,276,Carolyn Williams,2020-05-18,506.06,5
21991,277,Rose Davis,2020-11-19,408.12,16
27455,278,Michael Baxter PhD,2020-11-04,200.03,14
32556,279,Scott Steele,2020-01-20,248.59,25
33259,281,Maurice Hutchinson,2018-05-29,198.96,7
31269,282,Maria Baker,2020-11-05,76.92,10
17855,283,Kelly Lopez,2021-10-28,335.36,12
14068,284,Benjamin Hernandez,2019-08-14,86.29,4
9155,285,Michael Perez,2020-09-29,564.57,22
10932,286,Robert White,2023-02-28,723.78,11
